drug,reaction,quarter,a_count,prr,ror,chi_sq,ci_lower,ci_upper,meets_signal_criteria,insufficient_data
semaglutide,NAUSEA,2023Q4,175,3.7878180768595433,4.138298079338293,363.5969222159411,3.2896567949120703,4.361417217010149,1,0
semaglutide,PANCREATITIS,2023Q4,25,5.12064671222607,5.187453565537129,81.19182885918008,3.4544684358263766,7.590465288231552,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2023Q4,24,32.04617385474138,32.52906962435499,627.0107049270133,20.919045820143772,49.09197424958136,1,0
semaglutide,SUICIDAL IDEATION,2023Q4,54,9.712203585132618,10.023148062063987,404.94191072370546,7.4271590158567165,12.70026645150297,1,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2023Q4,0,,,,,,0,1
semaglutide,NAUSEA,2024Q1,537,4.107133911591006,4.59515114192864,1244.2925965469099,3.7882529023469433,4.452857135617908,1,0
semaglutide,PANCREATITIS,2024Q1,106,8.014516559477673,8.207643508907449,594.5622353850965,6.581116048680166,9.760118983925766,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2024Q1,101,41.08422649140546,42.134422827496756,2626.9886725410597,32.40883402169725,52.08190042465177,1,0
semaglutide,SUICIDAL IDEATION,2024Q1,40,2.8823703788619004,2.901597859749152,47.66075369740661,2.106083821917886,3.9447902854003383,1,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2024Q1,0,,,,,,0,1
semaglutide,NAUSEA,2024Q2,205,3.0437840537117986,3.2750068633204736,285.74748148205333,2.669880537886434,3.4700509008408336,1,0
semaglutide,PANCREATITIS,2024Q2,35,5.375403419592469,5.452668363934413,121.00814695296573,3.8492669408691893,7.506614211806713,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2024Q2,21,20.65737854007805,20.864194646962638,348.185512370782,13.141325720276837,32.47216431821977,1,0
semaglutide,SUICIDAL IDEATION,2024Q2,41,5.696676602432186,5.7941278882113965,153.8789560170579,4.184904303318679,7.754567837301178,1,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2024Q2,3,20.91399193809144,20.94365528258711,50.32573890577986,6.284394415106898,69.6001921418412,1,0
semaglutide,NAUSEA,2024Q3,995,5.110385696536377,5.951742159826584,3124.835919940313,4.814917946283005,5.423984844336656,1,0
semaglutide,PANCREATITIS,2024Q3,99,5.204035398093355,5.276329909889645,308.60505829027136,4.24222994283309,6.383902991953919,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2024Q3,328,72.88204558813925,77.14711631044563,10098.254543749448,61.96171646613775,85.72700809562821,1,0
semaglutide,SUICIDAL IDEATION,2024Q3,48,2.292022232203009,2.3027001018906375,33.70257105321889,1.7193346182686295,3.055464513477315,1,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2024Q3,24,28.479595395884203,28.592680150599772,421.33773999528563,17.42895368608632,46.53677831278918,1,0
semaglutide,NAUSEA,2024Q4,304,3.9893305828657217,4.40695764958961,682.7450031907263,3.5844673606954824,4.439922838717066,1,0
semaglutide,PANCREATITIS,2024Q4,23,2.674833328674456,2.6905114591423085,23.731804789150125,1.7736526201519907,4.033897762671563,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2024Q4,141,97.54209552710341,103.36186272219602,7810.008431019675,78.80744763055304,120.73047263784103,1,0
semaglutide,SUICIDAL IDEATION,2024Q4,37,4.306724743306382,4.356806125010162,91.34337703275989,3.1118543455566687,5.960394014292931,1,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2024Q4,28,85.40436217008798,86.3681966483761,1427.6482137138778,53.261989541024775,136.94390954099572,1,0
semaglutide,NAUSEA,2025Q1,357,3.933335502871927,4.3535605327777365,780.217871640337,3.563065393938594,4.342083702553393,1,0
semaglutide,PANCREATITIS,2025Q1,45,4.541355888367486,4.598189345919745,119.90391046303397,3.3788339510006655,6.103855236420281,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2025Q1,252,145.45314145314143,159.47015787447054,15838.288751483284,121.13035865873111,174.6599002335457,1,0
semaglutide,SUICIDAL IDEATION,2025Q1,31,2.8652261887556008,2.885745000626226,36.85385825723651,2.009938612373705,4.084463606097718,1,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2025Q1,49,113.13022113022113,115.0925,2723.727894436029,76.27011352814323,167.80422030249335,1,0
semaglutide,NAUSEA,2025Q2,297,3.524460134128084,3.8373836148609897,538.8207376258893,3.1605232357717803,3.9303046712215743,1,0
semaglutide,PANCREATITIS,2025Q2,27,2.7500099974292325,2.7677332794737146,29.499295958999497,1.881303139791365,4.0198492342916134,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2025Q2,109,59.858128515471925,62.340921088299496,4203.355456687403,47.70431153677874,75.10842173274763,1,0
semaglutide,SUICIDAL IDEATION,2025Q2,23,2.314901433646792,2.326228299929143,16.914104962436703,1.534915231297892,3.4912472938122527,1,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2025Q2,61,81.67632688993938,83.54610498275332,2885.532493791698,59.097367256057915,112.88188770453912,1,0
semaglutide,NAUSEA,2025Q3,2018,4.736247241138586,5.505923326542594,5295.280038324478,4.534639635747871,4.946818210724984,1,0
semaglutide,PANCREATITIS,2025Q3,169,3.5849733529223116,3.6224882087955512,280.1284463902753,3.057441128878781,4.2035262166686795,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2025Q3,1334,72.89374689675506,82.0451074273153,26191.847993174557,65.91755535014146,80.60824325817156,1,0
semaglutide,SUICIDAL IDEATION,2025Q3,21,0.5317951558108637,0.5309614153098908,8.521567789012026,0.34545281896166286,0.8186532927823222,0,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2025Q3,106,29.366234975452855,29.62305261359754,1410.7747254365026,22.358968127394952,38.56956867239768,1,0
semaglutide,NAUSEA,2025Q4,291,3.3834504569655115,3.6801074642268308,491.29497870722196,3.0308960442129007,3.7770140670439964,1,0
semaglutide,PANCREATITIS,2025Q4,22,2.1749990306422786,2.184914634276391,13.764291148760766,1.4291087187729856,3.3101895756094066,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2025Q4,113,54.570668720366534,56.976664573069804,4060.941806380589,43.80077628194648,67.98870105449306,1,0
semaglutide,SUICIDAL IDEATION,2025Q4,12,1.2495235215160367,1.2506676874534433,0.593817115503648,0.7083985970867434,2.2039979147935203,0,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2025Q4,93,134.73642984940057,139.6408020796822,5750.108909307671,100.27543773955846,181.04040169550674,1,0
